127.0.0.1 - - [17/Apr/2025:01:25:40 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:06 +0200] "GET /jpetstore/ HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:06 +0200] "GET /jpetstore/css/jpetstore.css HTTP/1.1" 200 5681
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:06 +0200] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 5260
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/cart.gif HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/logo-topbar.gif HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/sm_fish.gif HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/sm_dogs.gif HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/separator.gif HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/sm_reptiles.gif HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/sm_cats.gif HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/fish_icon.gif HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/sm_birds.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/dogs_icon.gif HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/cats_icon.gif HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/reptiles_icon.gif HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/splash.gif HTTP/1.1" 200 36097
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/images/birds_icon.gif HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:08 +0200] "GET /jpetstore/actions/Account.action;jsessionid=EB1CB33BEB1E4C3E76923B65E2084F23?signonForm= HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:09 +0200] "POST /jpetstore/actions/Account.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:09 +0200] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:09 +0200] "GET /jpetstore/images/banner_dogs.gif HTTP/1.1" 200 6161
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:10 +0200] "POST /jpetstore/actions/Catalog.action HTTP/1.1" 200 3958
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:10 +0200] "GET /jpetstore/images/fish1.gif HTTP/1.1" 200 12638
0:0:0:0:0:0:0:1 - - [17/Apr/2025:01:27:10 +0200] "GET /jpetstore/images/fish2.gif HTTP/1.1" 200 13315
